Place,Name,Year of birth,Country code,Country,Time,Event
7.0,"MINAKOV, Andrei",2002,RUS,Russia,48.00,"Men, 100m Freestyle, Prelim, Open"
8.0,"POPOVICI, David",2004,ROU,Romania,48.03,"Men, 100m Freestyle, Prelim, Open"
9.0,"NEMETH, Nandor",1999,HUN,Hungary,48.11,"Men, 100m Freestyle, Prelim, Open"
10.0,"KISIL, Yuri",1995,CAN,Canada,48.15,"Men, 100m Freestyle, Prelim, Open"
11.0,"APPLE, Zach",1997,USA,United States,48.16,"Men, 100m Freestyle, Prelim, Open"
12.0,"GROUSSET, Maxime",1999,FRA,France,48.25,"Men, 100m Freestyle, Prelim, Open"
13.0,"BARNA, Andrej",1998,SRB,Serbia,48.30,"Men, 100m Freestyle, Prelim, Open"
14.0,"LIENDO, Joshua",2002,CAN,Canada,48.34,"Men, 100m Freestyle, Prelim, Open"
15.0,"MITYUKOV, Roman",2000,SUI,Switzerland,48.43,"Men, 100m Freestyle, Prelim, Open"
16.0,"WHITTLE, Jacob",2004,GBR,Great Britain,48.44,"Men, 100m Freestyle, Prelim, Open"
17.0,"NAKAMURA, Katsumi",1994,JPN,Japan,48.48,"Men, 100m Freestyle, Prelim, Open"
18.0,"JUNYI, He",1997,CHN,China,48.50,"Men, 100m Freestyle, Prelim, Open"
18.0,"CHRISTOU, Apostolos",1996,GRE,Greece,48.50,"Men, 100m Freestyle, Prelim, Open"
20.0,"SZABO, Szebasztian",1996,HUN,Hungary,48.51,"Men, 100m Freestyle, Prelim, Open"
21.0,"PIJNENBURG, Stan",1996,NED,Netherlands,48.53,"Men, 100m Freestyle, Prelim, Open"
22.0,"CARTER, Dylan",1996,TTO,Trinidad &Tobago,48.66,"Men, 100m Freestyle, Prelim, Open"
23.0,"METELLA, Mehdy",1992,FRA,France,48.68,"Men, 100m Freestyle, Prelim, Open"
24.0,"MCEVOY, Cameron",1994,AUS,Australia,48.72,"Men, 100m Freestyle, Prelim, Open"
25.0,"SPAJARI, Pedro",1997,BRA,Brazil,48.74,"Men, 100m Freestyle, Prelim, Open"
26.0,"WIERLING, Damian",1996,GER,Germany,48.83,"Men, 100m Freestyle, Prelim, Open"
27.0,"HANSON, Robin",2001,SWE,Sweden,49.07,"Men, 100m Freestyle, Prelim, Open"
28.0,"MILJENIC, Nikola",1998,CRO,Croatia,49.25,"Men, 100m Freestyle, Prelim, Open"
29.0,"CHERUTI, Meiron Amir",1997,ISR,Israel,49.26,"Men, 100m Freestyle, Prelim, Open"
30.0,"SCHREUDERS, Mikel",1998,ARU,Aruba,49.31,"Men, 100m Freestyle, Prelim, Open"
30.0,"KHALAFALLA, Ali",1996,EGY,Egypt,49.31,"Men, 100m Freestyle, Prelim, Open"
32.0,"SANTOS, Gabriel",1996,BRA,Brazil,49.33,"Men, 100m Freestyle, Prelim, Open"
33.0,"MESTRE, Alberto",1999,VEN,Venezuela,49.44,"Men, 100m Freestyle, Prelim, Open"
34.0,"HO, Ian",1997,HKG,Hong Kong,49.49,"Men, 100m Freestyle, Prelim, Open"
35.0,"SHEVTSOV, Sergii",1998,UKR,Ukraine,49.55,"Men, 100m Freestyle, Prelim, Open"
36.0,"GEBBIE, Luke",1996,PHI,Philippines,49.64,"Men, 100m Freestyle, Prelim, Open"
37.0,"SAHNOUNE, Oussama",1992,ALG,Algeria,49.65,"Men, 100m Freestyle, Prelim, Open"
38.0,"BARSEGHYAN, Artur",2002,ARM,Armenia,49.78,"Men, 100m Freestyle, Prelim, Open"
39.0,"SCHOOLING, Joseph",1995,SGP,Singapore,49.84,"Men, 100m Freestyle, Prelim, Open"
40.0,"ANTONIOU, Nikolas",2004,CYP,Cyprus,50.00,"Men, 100m Freestyle, Prelim, Open"
41.0,"TURSUNOV, Khurshid",1994,UZB,Uzbekistan,50.14,"Men, 100m Freestyle, Prelim, Open"
42.0,"WETZLAR, Peter C",1997,ZIM,Zimbabwe,50.31,"Men, 100m Freestyle, Prelim, Open"
43.0,"BOUTOUIL, Samy",2000,MAR,Morocco,50.37,"Men, 100m Freestyle, Prelim, Open"
44.0,"HOCKIN, Benjamin Thomas",1986,PAR,Paraguay,50.41,"Men, 100m Freestyle, Prelim, Open"
45.0,"MURATOVIC, Emir",1996,BIH,Bosnia-Herzegovina,50.43,"Men, 100m Freestyle, Prelim, Open"
46.0,"LIUKKONEN, Ari-Pekka",1989,FIN,Finland,50.48,"Men, 100m Freestyle, Prelim, Open"
47.0,"AL-YAMANI, Mokhtar",1997,YEM,Yemen,50.52,"Men, 100m Freestyle, Prelim, Open"
48.0,"ABEYSINGHE, Matthew Duncan",1996,SRI,Sri Lanka,50.62,"Men, 100m Freestyle, Prelim, Open"
49.0,"CHETCUTI, Andrew",1992,MLT,Malta,51.47,"Men, 100m Freestyle, Prelim, Open"
50.0,"ALMATROOSHI, Yousuf",2003,UAE,United Arab Emirates,51.50,"Men, 100m Freestyle, Prelim, Open"
51.0,"MITCHELL, Stefano",1999,ANT,Antigua & Barbuda,51.64,"Men, 100m Freestyle, Prelim, Open"
52.0,"KADIU, Kledi",2003,ALB,Albania,51.65,"Men, 100m Freestyle, Prelim, Open"
53.0,"ADAWI, Issa Samir Hamed",1999,OMA,Oman,51.81,"Men, 100m Freestyle, Prelim, Open"
54.0,"ZEPHIR, Jean Luc",1993,LCA,Saint Lucia,51.94,"Men, 100m Freestyle, Prelim, Open"
55.0,"MENA, Miguel Angel",1997,NCA,Nicaragua,51.99,"Men, 100m Freestyle, Prelim, Open"
56.0,"ROSAFIO, Danilo",2001,KEN,Kenya,52.54,"Men, 100m Freestyle, Prelim, Open"
57.0,"STEPHENS, Jagger",1998,GUM,Guam,52.72,"Men, 100m Freestyle, Prelim, Open"
58.0,"FELIX, Delron",2000,GRN,Grenada,52.99,"Men, 100m Freestyle, Prelim, Open"
59.0,"SHAH, Alexander Gadegaard",2002,NEP,Nepal,53.41,"Men, 100m Freestyle, Prelim, Open"
60.0,"MARQUET, Mathieu",1994,MRI,Mauritius,53.56,"Men, 100m Freestyle, Prelim, Open"
61.0,"RADULOVIC, Bosko",1996,MNE,Montenegro,53.60,"Men, 100m Freestyle, Prelim, Open"
62.0,"TARIQ, Syed Muhammad Haseeb",1996,PAK,Pakistan,53.81,"Men, 100m Freestyle, Prelim, Open"
63.0,"AMBALA, Atuhaire",2001,UGA,Uganda,54.23,"Men, 100m Freestyle, Prelim, Open"
64.0,"KONDIROLLI, Olt",2003,KOS,Kosovo,54.33,"Men, 100m Freestyle, Prelim, Open"
64.0,"BELLY CRESUS, Ganira",2000,BDI,Burundi,54.33,"Men, 100m Freestyle, Prelim, Open"
66.0,"AL BAWWAB, Yazan",1999,PLE,Palestine,54.51,"Men, 100m Freestyle, Prelim, Open"
67.0,"FOWLER, Andrew",1995,GUY,Guyana,55.23,"Men, 100m Freestyle, Prelim, Open"
68.0,"TENZIN, Sangay",2003,BHU,Bhutan,57.57,"Men, 100m Freestyle, Prelim, Open"
69.0,"IBRAHIM, Mubal Azzam",2000,MDV,Maldives,58.37,"Men, 100m Freestyle, Prelim, Open"
70.0,"IRO, Edgar",2000,SOL,Solomon Islands,1:00.13,"Men, 100m Freestyle, Prelim, Open"
Relay,"DRESSEL, Caeleb",1996,USA,United States,47.26,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"GROUSSET, Maxime",1999,FRA,France,47.52,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"MINAKOV, Andrei",2002,RUS,Russia,47.71,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"MIRESSI, Alessandro",1998,ITA,Italy,47.72,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"HAYDEN, Brent",1983,CAN,Canada,47.99,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"TEMPLE, Matthew",1999,AUS,Australia,48.07,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"MILAK, Kristof",2000,HUN,Hungary,48.24,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"CORREIA, Breno",1999,BRA,Brazil,48.69,"100m Freestyle - Men, 4 x 100m Freestyle, Final, Open"
Relay,"MIRESSI, Alessandro",1998,ITA,Italy,47.46,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"RICHARDS, Matthew",2002,GBR,Great Britain,48.23,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"GRINEV, Vladislav",1996,RUS,Russia,48.39,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"MITYUKOV, Roman",2000,SUI,Switzerland,48.46,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"HAYDEN, Brent",1983,CAN,Canada,48.51,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"NAKAMURA, Katsumi",1994,JPN,Japan,48.56,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"MILAK, Kristof",2000,HUN,Hungary,48.56,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"MIGNON, Clement",1993,FRA,France,48.58,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"VAZAIOS, Andreas",1994,GRE,Greece,48.65,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"OSTROWSKI, Karol",1999,POL,Poland,48.67,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"CORREIA, Breno",1999,BRA,Brazil,48.67,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"STJEPANOVIC, Velimir",1993,SRB,Serbia,48.74,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"CURRY, Brooks",2001,USA,United States,48.84,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"WIERLING, Damian",1996,GER,Germany,48.96,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"KORSTANJE, Nyls",1999,NED,Netherlands,49.15,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
Relay,"MCEVOY, Cameron",1994,AUS,Australia,49.18,"100m Freestyle - Men, 4 x 100m Freestyle, Prelim, Open"
1.0,"DEAN, Thomas",2000,GBR,Great Britain,1:44.22,"Men, 200m Freestyle, Final, Open"
2.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:44.26,"Men, 200m Freestyle, Final, Open"
3.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:44.66,"Men, 200m Freestyle, Final, Open"
4.0,"POPOVICI, David",2004,ROU,Romania,1:44.68,"Men, 200m Freestyle, Final, Open"
5.0,"MALYUTIN, Martin",1999,RUS,Russia,1:45.01,"Men, 200m Freestyle, Final, Open"
6.0,"SMITH, Kieran S",2000,USA,United States,1:45.12,"Men, 200m Freestyle, Final, Open"
7.0,"HWANG, Sun Woo",2003,KOR,Korea,1:45.26,"Men, 200m Freestyle, Final, Open"
8.0,"RAPSYS, Danas",1995,LTU,Lithuania,1:45.78,"Men, 200m Freestyle, Final, Open"
1.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:44.60,"Men, 200m Freestyle, Semifinal, Open"
2.0,"SMITH, Kieran S",2000,USA,United States,1:45.07,"Men, 200m Freestyle, Semifinal, Open"
3.0,"RAPSYS, Danas",1995,LTU,Lithuania,1:45.32,"Men, 200m Freestyle, Semifinal, Open"
4.0,"DEAN, Thomas",2000,GBR,Great Britain,1:45.34,"Men, 200m Freestyle, Semifinal, Open"
5.0,"MALYUTIN, Martin",1999,RUS,Russia,1:45.45,"Men, 200m Freestyle, Semifinal, Open"
6.0,"HWANG, Sun Woo",2003,KOR,Korea,1:45.53,"Men, 200m Freestyle, Semifinal, Open"
7.0,"POPOVICI, David",2004,ROU,Romania,1:45.68,"Men, 200m Freestyle, Semifinal, Open"
8.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:45.71,"Men, 200m Freestyle, Semifinal, Open"
9.0,"NEILL, Thomas",2002,AUS,Australia,1:45.74,"Men, 200m Freestyle, Semifinal, Open"
10.0,"BALLO, Stefano",1993,ITA,Italy,1:45.84,"Men, 200m Freestyle, Semifinal, Open"
11.0,"DJAKOVIC, Antonio",2002,SUI,Switzerland,1:45.92,"Men, 200m Freestyle, Semifinal, Open"
12.0,"HAAS, Townley",1996,USA,United States,1:46.07,"Men, 200m Freestyle, Semifinal, Open"
13.0,"ZIRK, Kregor",1999,EST,Estonia,1:46.67,"Men, 200m Freestyle, Semifinal, Open"
14.0,"DI COLA, Stefano",1998,ITA,Italy,1:47.19,"Men, 200m Freestyle, Semifinal, Open"
15.0,"NEMETH, Nandor",1999,HUN,Hungary,1:47.20,"Men, 200m Freestyle, Semifinal, Open"
16.0,"STJEPANOVIC, Velimir",1993,SRB,Serbia,1:47.62,"Men, 200m Freestyle, Semifinal, Open"
1.0,"MATSUMOTO, Katsuhiro",1997,JPN,Japan,1:46.06,"Men, 200m Freestyle, Swim Off Prelim, Open"
2.0,"MAERTENS, Lukas",2001,GER,Germany,1:46.40,"Men, 200m Freestyle, Swim Off Prelim, Open"
1.0,"HWANG, Sun Woo",2003,KOR,Korea,1:44.62,"Men, 200m Freestyle, Prelim, Open"
2.0,"SCHEFFER, Fernando",1998,BRA,Brazil,1:45.05,"Men, 200m Freestyle, Prelim, Open"
3.0,"DEAN, Thomas",2000,GBR,Great Britain,1:45.24,"Men, 200m Freestyle, Prelim, Open"
4.0,"POPOVICI, David",2004,ROU,Romania,1:45.32,"Men, 200m Freestyle, Prelim, Open"
5.0,"SCOTT, Duncan W",1997,GBR,Great Britain,1:45.37,"Men, 200m Freestyle, Prelim, Open"
